,Timestamp,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Light,Magnetic_x,Magnetic_y,Magnetic_z,Proximity,Latitude,Longitude,Elevation,Speed,Acceleration,Bearing
0,1633985882.0,-0.348,-1.021,9.815,-0.003,-0.013,0.004,410.5,-47.831,18.263,-58.669,5.0,-32.95812,-60.63654,52.8,8.083333333333334,-1.021,86.32369
1,1633985883.0,0.049,-0.755,10.256,-0.005,0.028,-0.001,410.5,-48.469,15.9,-60.525,5.0,-32.95813,-60.63644,53.6,8.36111111111111,-0.755,61.604633
2,1633985884.0,-0.499,-1.013,9.925,-0.023,-0.014,-0.005,410.5,-48.975,18.281,-59.419,5.0,-32.95815,-60.63635,51.9,8.36111111111111,-1.013,30.706606
3,1633985885.0,-0.447,-0.975,10.309,-0.008,-0.013,0.019,372.5,-48.788,16.856,-58.8,5.0,-32.95816,-60.63627,51.2,8.11111111111111,-0.975,82.54746
4,1633985886.0,-0.504,-0.999,9.621,-0.008,-0.003,0.012,372.5,-50.456,19.406,-60.488,5.0,-32.95818,-60.63618,50.6,7.749999999999999,-0.999,88.92054
5,1633985887.0,-0.621,-1.14,9.08,-0.008,-0.023,0.012,372.5,-48.094,17.644,-59.138,5.0,-32.95819,-60.6361,49.9,7.472222222222221,-1.14,96.938065
6,1633985888.0,-0.403,-1.126,9.686,-0.01,0.0,0.018,471.1,-48.6,20.175,-58.669,5.0,-32.9582,-60.63603,48.3,7.138888888888888,-1.126,100.11541
7,1633985889.0,-0.339,-1.646,9.279,-0.016,-0.008,-0.025,471.1,-48.544,17.813,-61.613,5.0,-32.95822,-60.63589,47.3,6.138888888888889,-1.646,102.27766
8,1633985890.0,-0.193,-2.149,9.659,-0.005,0.001,-0.024,471.1,-48.225,17.006,-59.438,5.0,-32.95823,-60.63582,45.7,5.361111111111112,-2.149,94.12759
9,1633985891.0,-0.133,-2.022,9.465,-0.002,-0.002,-0.022,471.1,-47.044,16.2,-59.006,5.0,-32.95824,-60.63577,45.8,4.166666666666667,-2.022,70.55692
10,1633985892.0,-0.286,-1.802,9.432,0.001,0.0,-0.01,471.1,-48.919,16.238,-60.206,5.0,-32.95824,-60.63576,46.2,2.611111111111111,-1.802,60.141895
